image_num,caption
0001,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. There is a white board on the wall behind her. There are lights hanging from the ceiling in the room. '}
0002,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. There are people sitting in front of her. There is a white board on the wall behind her. '}
0003,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. She is wearing a long gray dress. There is a white board on the wall behind her. There are shelves in front of her with boxes and other items on them. '}
0004,{'<MORE_DETAILED_CAPTION>': 'A woman is standing inside of a classroom. She is wearing a gray dress and black pants. There is a white board on the wall behind her. There are shelves on the side of the room with various items on them. '}
0005,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. She is wearing a gray dress and black pants. There is a white board on the wall behind her. '}
0006,{'<MORE_DETAILED_CAPTION>': 'A woman is standing inside of a room. She is wearing a long sleeve shirt and black pants. There is a white board on the wall in front of her. There are shelves on the side of her with boxes and other items on them. A television is hanging from the ceiling above her.'}
0007,{'<MORE_DETAILED_CAPTION>': 'A woman is standing inside of a room. She is wearing a long sleeve shirt and black pants. There is a whiteboard on the wall behind her. There are shelves on the side of the wall with boxes and other items on them. A television is hanging from the ceiling above the woman.'}
0008,{'<MORE_DETAILED_CAPTION>': 'A woman is standing inside of a classroom. She is wearing a short sleeve shirt and black pants. There is a whiteboard on the wall behind her. There are children sitting in front of the whiteboard. '}
0009,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. She is wearing a gray dress and black pants. There is a white board on the wall behind her. There are shelves on the side of the woman with boxes and other items on them. '}
0010,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. There is a white board on the wall behind her. There are shelves on the side of the wall with boxes and other items on them. '}
0011,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. She is wearing a gray dress and black pants. There is a white board on the wall behind her. There are people sitting on the floor in front of her. '}
0012,{'<MORE_DETAILED_CAPTION>': 'A woman is standing inside of a classroom. She is wearing a gray dress and black pants. There is a white board on the wall behind her. There are shelves on both sides of the white board with blue and green boxes on them. A small girl is sitting on the floor in front of her.'}
0013,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. She is wearing a gray dress. There is a white board on the wall behind her. There are people sitting in front of her. '}
0014,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. There is a white board on the wall behind her. There are shelves in front of her with various items on them. '}
0015,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in front of a whiteboard in a room. There are people standing around her. There is a television hanging on the wall above the woman. '}
0016,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. There are people sitting in front of her. There is a white board on the wall behind her. '}
0017,{'<MORE_DETAILED_CAPTION>': 'A woman is standing behind a whiteboard in a room. There are people standing in front of the whiteboard. There is a television hanging on the wall above the woman. '}
0018,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. There is a white board on the wall behind her. There are lights hanging from the ceiling in the room. '}
0019,{'<MORE_DETAILED_CAPTION>': 'A person is standing in a room. There is a white board on the wall in front of the person. There are lights on the ceiling in the room.'}
0020,{'<MORE_DETAILED_CAPTION>': 'A person is standing in a room. There is a white board on the wall. There are lights on the ceiling in the room. '}
0021,{'<MORE_DETAILED_CAPTION>': 'A man is standing in a room. There are people standing in front of the man. There is a white board on the wall. '}
0022,{'<MORE_DETAILED_CAPTION>': 'People are standing in a room. There is a white board on the wall in front of them. There are lights hanging from the ceiling in the room. '}
0023,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. There is a white board on the wall in front of her. There are lights hanging from the ceiling in the room. '}
0024,{'<MORE_DETAILED_CAPTION>': 'People are standing in a room. There is a white board on the wall in front of them. There are lights hanging from the ceiling in the room. '}
0025,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. There is a white board on the wall in front of her. There are lights hanging from the ceiling in the room. '}
0026,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. There is a white board on the wall. There are lights on the ceiling in the room. '}
0027,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. There is a white board on the wall behind her. There are lights hanging from the ceiling in the room. '}
0028,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in front of a white board. There are lights on the ceiling above the woman. There is a television hanging from the ceiling. '}
0029,{'<MORE_DETAILED_CAPTION>': 'A woman is standing in a room. There is a white board in front of her. There are lights hanging from the ceiling in the room. '}
0030,{'<MORE_DETAILED_CAPTION>': 'People are standing in a room. There is a white board on the wall in front of them. There are lights hanging from the ceiling in the room. '}
